"FW_name","temperature_C","lat","lon","ecosystem.type","sampling.start.year","sampling.end.year","study_ID","stability","flux","second.consumption","prim.consumption","PC.predation","S","density","MaxTL","sim.sec.cons","sim.prim.cons","sim.total","L","LD","C","omnivory"
"PGSBP2",31,-23.824949,-45.4131,"Marine",2013,2015,"Intertidal rockpools",0.00083329338537946,1265.38064135926,359.301882291168,906.078759068088,0.528714992180829,29,777.91030533524,4,0.774770078057275,0.595748925630582,0.766937871586632,89,3.06896551724138,0.105826397146254,0.18732163606862
"PGUBP1",24,-23.466834,-45.060145,"Marine",2013,2015,"Intertidal rockpools",0.00366919542596983,187.644947553356,19.9135438341738,167.731403719182,0.189140849862166,18,761.05,4,0.582020380168528,0.572222222222222,0.687137609864883,46,2.55555555555556,0.141975308641975,0.102995118762359
"PGUBP2",26,-23.466831,-45.060127,"Marine",2013,2015,"Intertidal rockpools",0.00823320048650446,495.519876293119,110.922611174145,384.597265118974,0.196858480398826,20,762.530657757246,4,0.645816186556927,0.454166666666667,0.695833333333333,48,2.4,0.12,0.071216724537037
"PGUBP3",28.5,-23.466854,-45.060104,"Marine",2013,2015,"Intertidal rockpools",0.00715365071617805,715.121502936589,168.389935813598,546.73156712299,0.516043360557667,21,759.917828798186,4,0.621316470490024,0.493923611111111,0.651813997967844,65,3.0952380952381,0.147392290249433,0.160453277413283
"PGUBP4",30,-23.466893,-45.060094,"Marine",2013,2015,"Intertidal rockpools",0.0176717108978097,291.289896354729,4.42867273027233,286.861223624456,0.00238673928943381,18,761.097933884298,3,0.518518518518518,0.484375,0.548611111111111,51,2.83333333333333,0.157407407407407,0.145978009259259
"PP1I1",21.2,48.493018,-68.500248,"Marine",2013,2015,"Intertidal rockpools",0.0113409679737634,830.750330102188,82.8374835860347,747.912846516153,0.0637242422010046,27,2517.68557633357,3.63636363636364,0.646768395910553,0.605080921257392,0.690366710994162,113,4.18518518518519,0.155006858710562,0.150595472899904
"PP1I2",19.3,48.492827,-68.50058,"Marine",2013,2015,"Intertidal rockpools",1.56811583265921e-16,329.13599799153,5.93248672134125,323.203511270189,2.12561666402624e-05,14,2509.75621172672,3,0.416666666666667,0.512,0.584375,27,1.92857142857143,0.137755102040816,0.02
"PP1I3",20.5,48.49427,-68.496102,"Marine",2013,2015,"Intertidal rockpools",0.0142474674028686,691.739843255551,78.8261271125468,612.913716143004,0.119903190264698,11,2514.153959076,2.58333333333333,0.526984126984127,0.608928571428571,0.535568513119534,22,2,0.181818181818182,0.115079365079365
"PP1I4",18.4,48.4938,-68.4997,"Marine",2013,2015,"Intertidal rockpools",0.00301341524190247,400.564000526025,31.1471065871418,369.416893938883,8.65197405198385e-05,18,2511.80700943028,2.5,0.261595547309833,0.535353535353535,0.403409090909091,58,3.22222222222222,0.179012345679012,0.0425
"PP2I1",12.7,48.496957,-68.49554,"Marine",2013,2015,"Intertidal rockpools",0.00287375289155585,269.686486313179,24.3567328120203,245.329753501158,0.000617659774428384,21,2518.36350303423,3,0.51872032288699,0.481671415004748,0.505700973409307,80,3.80952380952381,0.18140589569161,0.0924658550702242
"PP2I2",12.3,48.497064,-68.495416,"Marine",2013,2015,"Intertidal rockpools",0.00196149020463819,289.725553141043,30.0928880108141,259.632665130229,5.81491435512756e-05,21,2523.1578977499,3,0.525,0.544727272727273,0.555188246097337,67,3.19047619047619,0.151927437641723,0.0372727272727273
"PP2I3",11.04,48.497064,-68.495425,"Marine",2013,2015,"Intertidal rockpools",0.00125291539066355,246.389689164273,22.0758680138278,224.313821150445,4.86143451317617e-05,23,2515.39972408224,3.16115351993214,0.591181908369408,0.445134643134643,0.603559688175073,86,3.73913043478261,0.162570888468809,0.0970443538306901
"PP2I4",11.9,48.497256,-68.49521,"Marine",2013,2015,"Intertidal rockpools",0.00319479402157127,295.226360439468,28.7050675999828,266.521292839485,5.74101351999656e-05,20,2517.16436217177,3,0.474298540965208,0.535353535353535,0.554181818181818,60,3,0.15,0.034
"PP2M1",11.5,48.497597,-68.494759,"Marine",2013,2015,"Intertidal rockpools",0.00168793302158576,232.314644293639,20.1023089281856,212.212335365453,4.46717976181903e-05,18,2509.97738007031,3,0.427889384920635,0.551111111111111,0.573849206349206,44,2.44444444444444,0.135802469135802,0.0481823979591837
"PP2M2",20.1,48.497686,-68.494574,"Marine",2013,2015,"Intertidal rockpools",0.00166669428287988,447.229273031525,26.4878859288108,420.741387102714,0.000210918083231506,19,2517.06474129489,3,0.48915873015873,0.544888888888889,0.561288206742752,53,2.78947368421053,0.146814404432133,0.0678951504844362
